nome,endereco,lat,lon,imagem,detalhes_url,mapa_url
Alexandre’s Bar,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG",-19.8618987,-43.94436899999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134138/alexandresbar_fabulosodiscao_bh_2025_isaquerodrigues_unibh-8111-scaled.jpg,https://comidadibuteco.com.br/buteco/alexandres-bar/,"https://www.google.com/maps/search/?api=1&query=Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG"
Amarelim do Prado,"Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG",-19.9280605,-43.9598546,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134238/amarelimdoprado_tremderocas_bh_2025_isaquerodrigues_unibh-7527-scaled.jpg,https://comidadibuteco.com.br/buteco/amarelim-do-prado/,"https://www.google.com/maps/search/?api=1&query=Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG"
Andrade’s Beer,"Rua Dona Geni, 32 |  Belo Horizonte - MG",-19.800632,-43.9965283,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134640/andradesbeer_choracanelinha_bh_2025_rodneycosta_unibh-9247-scaled.jpg,https://comidadibuteco.com.br/buteco/andrades-beer/,"https://www.google.com/maps/search/?api=1&query=Rua Dona Geni, 32 |  Belo Horizonte - MG"
Arcos Bar,"Rua da Bahia, 1144 | Centro, Belo Horizonte - MG",-19.9249444,-43.9375936,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051259/arcos_pratodadiversidade_bh_2025_rodneycosta_unibh-7624-scaled.jpg,https://comidadibuteco.com.br/buteco/arcos-bar/,"https://www.google.com/maps/search/?api=1&query=Rua da Bahia, 1144 | Centro, Belo Horizonte - MG"
Armazém Santa Amélia,"Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",-19.8327892,-43.9732667,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19135257/armazemsantaamelia_segredodoarmazem_bh_2025_isaquerodrigues_unibh-7616-scaled.jpg,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,"https://www.google.com/maps/search/?api=1&query=Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG"
Avalanche Espeteria,"Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG",-19.8250148,-43.960121,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19140742/avalanche_milaomaluco_bh_2025_rodneycosta_unibh-8764-scaled.jpg,https://comidadibuteco.com.br/buteco/avalanche-espeteria/,"https://www.google.com/maps/search/?api=1&query=Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG"
Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte - MG",-19.9383853,-43.92018230000001,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051233/azougue_linguadevovovirinha_bh_2025_isaquerodrigues_unibh-7366-scaled.jpg,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,"https://www.google.com/maps/search/?api=1&query=Rua do Ouro, 835 | Serra, Belo Horizonte - MG"
Baiuca,"Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG",-19.9379851,-43.9287422,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142244/baiuca_caneladasuina_bh_2025_rodneycosta_unibh-7505-scaled.jpg,https://comidadibuteco.com.br/buteco/baiuca/,"https://www.google.com/maps/search/?api=1&query=Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG"
Bar Bambú,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG",-19.9454547,-43.9819144,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051202/barbambu_camaraoquedorme_bh_2025_fernandaoliveira_unibh-8355-scaled.jpg,https://comidadibuteco.com.br/buteco/3231-revision-v1/,"https://www.google.com/maps/search/?api=1&query=Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG"
Bar Bendita Baderna,"Rua Silva Fortes, 47 | União, Belo Horizonte - MG",-19.8793837,-43.9278428,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142754/benditabaderna_parabenscdb_bh_2025_rodneycosta_unibh-8203-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,"https://www.google.com/maps/search/?api=1&query=Rua Silva Fortes, 47 | União, Belo Horizonte - MG"
Bar da Cíntia,"Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",-19.8166948,-43.9695635,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142858/bardacinthia_linguabeba_bh_2025_rodneycosta_unibh-8675-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-da-cintia/,"https://www.google.com/maps/search/?api=1&query=Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG"
Bar da Fia,"Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG",-19.8279178,-43.98005630000001,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051142/bardafia_linguanorabo_bh_2025_rodneycosta_unibh-7352-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-da-fia/,"https://www.google.com/maps/search/?api=1&query=Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG"
Bar da Lu,"Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG",-19.8272783,-43.9640798,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143046/bardalu_barrilmineiroso_bh_2025_rodneycosta_unibh-8734-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-da-lu/,"https://www.google.com/maps/search/?api=1&query=Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG"
Bar da Silvânia,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte - MG",-19.9418096,-44.01787729999999,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050951/bardasilvania_otrembaumso_bh_2025_rodneycosta_unibh-8183-scaled.jpg,https://comidadibuteco.com.br/buteco/bar-da-silvania/,"https://www.google.com/maps/search/?api=1&query=Rua Soares Nogueira, 801 | Camargos, Belo Horizonte - MG"
